Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
81,Little Things,Bobby Goldsboro,1965,joy,0,20,0,0,60,0,5,10,5,0
82,True Love Ways,Peter,1965,joy,0,6.666666667,0,0,53.33333333,10,0,26.66666667,3.333333333,0
83,It's the Same Old Song,Four Tops,1965,joy,4.545454545,13.63636364,2.272727273,11.36363636,29.54545455,13.63636364,6.818181818,15.90909091,2.272727273,0
84,You've Got Your Troubles,The Fortunes,1965,sadness,4.166666667,8.333333333,4.166666667,4.166666667,25,37.5,0,12.5,4.166666667,0
85,Hold What You've Got,Joe Tex,1965,trust,0,21.42857143,0,0,21.42857143,0,14.28571429,35.71428571,7.142857143,0
86,We Gotta Get out of This Place,The Animals,1965,joy,0,22.58064516,3.225806452,0,41.93548387,3.225806452,9.677419355,16.12903226,3.225806452,0
87,Laugh Laugh,The Beau Brummels,1965,trust,12.72727273,16.36363636,12.72727273,10.90909091,9.090909091,12.72727273,3.636363636,20,1.818181818,0
88,The Last Time,The Rolling Stones,1965,anticipation,0,63.33333333,0,10,6.666666667,6.666666667,3.333333333,6.666666667,3.333333333,0
89,Do You Believe in Magic,The Lovin' Spoonful,1965,joy,2.857142857,20,0,5.714285714,31.42857143,20,8.571428571,8.571428571,2.857142857,0
90,All I Really Want to Do,Cher,1965,anger,25,4.166666667,8.333333333,16.66666667,20.83333333,16.66666667,4.166666667,0,4.166666667,0
91,Take Me Back,Little Anthony,1965,anger,27.77777778,0,22.22222222,5.555555556,11.11111111,16.66666667,0,11.11111111,5.555555556,0
92,I Want Candy,The Strangeloves,1965,anticipation,0,22.22222222,0,5.555555556,22.22222222,0,22.22222222,22.22222222,5.555555556,0
93,Ooo Baby Baby,The Miracles,1965,joy,0,8,0,0,72,4,4,8,4,0
94,Laugh at Me,Sonny,1965,joy,5,20,0,10,25,10,15,10,5,0
95,Treat Her Right,Roy Head,1965,joy,6.666666667,20,6.666666667,6.666666667,23.33333333,6.666666667,10,16.66666667,3.333333333,0
96,The Race Is On,Jack Jones,1965,anticipation,13.54166667,16.66666667,9.375,15.625,8.333333333,12.5,8.333333333,14.58333333,1.041666667,0
97,I'm a Fool,Dino Desi,1965,disgust,7.547169811,9.433962264,30.18867925,7.547169811,24.52830189,7.547169811,3.773584906,7.547169811,1.886792453,0
98,The Boy from New York City,The Ad Libs,1965,joy,5,17.5,17.5,5,20,7.5,12.5,12.5,2.5,0
99,Keep Searchin' (We'll Follow the Sun),Del Shannon,1965,fear,17.85714286,3.571428571,7.142857143,28.57142857,7.142857143,17.85714286,10.71428571,3.571428571,3.571428571,0
100,How Sweet It Is (To Be Loved by You),Marvin Gaye,1965,joy,0,20,0,0,36,0,20,22,2,0
1,California Dreamin',The Mamas,1966,joy,0,11.76470588,11.76470588,5.882352941,17.64705882,17.64705882,11.76470588,17.64705882,5.882352941,0
2,96 Tears,?,1966,sadness,0,21.21212121,0,3.03030303,6.060606061,54.54545455,3.03030303,9.090909091,3.03030303,0
3,What Becomes of the Brokenhearted,Jimmy Ruffin,1966,joy,5.769230769,15.38461538,1.923076923,5.769230769,28.84615385,15.38461538,3.846153846,21.15384615,1.923076923,0
4,Last Train to Clarksville,The Monkees,1966,anticipation,14.28571429,35.71428571,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,7.142857143,0
