Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
97,I'm a Fool,Dino Desi,1965,joy,6.666666666666667,13.333333333333334,20.0,6.666666666666667,33.333333333333336,6.666666666666667,0.0,6.666666666666667,6.666666666666667,0.0
98,The Boy from New York City,The Ad Libs,1965,anticipation,0.0,25.0,12.5,0.0,25.0,0.0,12.5,12.5,12.5,0.0
99,Keep Searchin' (We'll Follow the Sun),Del Shannon,1965,joy,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,0.0
100,How Sweet It Is (To Be Loved by You),Marvin Gaye,1965,joy,0.0,16.666666666666668,0.0,0.0,33.333333333333336,0.0,16.666666666666668,25.0,8.333333333333334,0.0
1,California Dreamin',The Mamas,1966,joy,0.0,12.5,12.5,0.0,25.0,12.5,0.0,25.0,12.5,0.0
2,96 Tears,?,1966,sadness,0.0,20.0,0.0,0.0,10.0,30.0,10.0,20.0,10.0,0.0
3,What Becomes of the Brokenhearted,Jimmy Ruffin,1966,joy,10.526315789473685,15.789473684210526,0.0,10.526315789473685,26.31578947368421,10.526315789473685,5.2631578947368425,15.789473684210526,5.2631578947368425,0.0
4,Last Train to Clarksville,The Monkees,1966,anger,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0
5,Reach Out I'll Be There,Four Tops,1966,joy,0.0,21.428571428571427,0.0,7.142857142857143,28.571428571428573,7.142857142857143,14.285714285714286,14.285714285714286,7.142857142857143,0.0
6,These Boots Are Made for Walkin',Nancy Sinatra,1966,anticipation,0.0,40.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0
7,Cherish,The Association,1966,trust,9.090909090909092,18.181818181818183,0.0,0.0,18.181818181818183,0.0,18.181818181818183,27.272727272727273,9.090909090909092,0.0
8,Strangers in the Night,Frank Sinatra,1966,joy,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,25.0,8.333333333333334,16.666666666666668,8.333333333333334,8.333333333333334,0.0
9,Kicks,Paul Revere,1966,anticipation,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0
10,Ballad of the Green Berets,SSgt. Barry Sadler,1966,anger,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0
11,Good Lovin',The Young Rascals,1966,joy,4.166666666666667,16.666666666666668,4.166666666666667,8.333333333333334,20.833333333333332,4.166666666666667,16.666666666666668,20.833333333333332,4.166666666666667,0.0
12,(You're My) Soul and Inspiration,The Righteous Brothers,1966,joy,0.0,25.0,0.0,0.0,37.5,0.0,12.5,12.5,12.5,0.0
13,You Can't Hurry Love,The Supremes,1966,joy,0.0,25.0,0.0,8.333333333333334,33.333333333333336,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,0.0
14,Sunny,Bobby Hebb,1966,joy,0.0,17.391304347826086,0.0,8.695652173913043,30.434782608695652,8.695652173913043,17.391304347826086,13.043478260869565,4.3478260869565215,0.0
15,See You In September,The Happenings,1966,anticipation,0.0,36.36363636363637,0.0,9.090909090909092,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0
16,Li'l Red Riding Hood,Sam the Sham,1966,anger,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0.0
17,Lightnin' Strikes,Lou Christie,1966,anticipation,11.11111111111111,22.22222222222222,22.22222222222222,11.11111111111111,11.11111111111111,0.0,11.11111111111111,0.0,11.11111111111111,0.0
18,Poor Side of Town,Johnny Rivers,1966,disgust,0.0,0.0,33.333333333333336,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0
19,Working In The Coal Mine,Lee Dorsey,1966,anticipation,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0
20,A Groovy Kind of Love,The Mindbenders,1966,joy,9.090909090909092,9.090909090909092,0.0,18.181818181818183,27.272727272727273,18.181818181818183,0.0,9.090909090909092,9.090909090909092,0.0
21,You Don't Have To Say You Love Me,Dusty Springfield,1966,fear,0.0,0.0,0.0,33.333333333333336,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0
22,Sunshine Superman,Donovan,1966,joy,0.0,22.22222222222222,0.0,0.0,44.44444444444444,0.0,0.0,22.22222222222222,11.11111111111111,0.0
23,Born a Woman,Sandy Posey,1966,anticipation,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0
24,Monday Monday,The Mamas,1966,anticipation,0.0,42.857142857142854,0.0,0.0,14.285714285714286,0.0,14.285714285714286,14.285714285714286,14.285714285714286,0.0
25,Red Rubber Ball,The Cyrkle,1966,anticipation,12.5,25.0,0.0,0.0,25.0,0.0,12.5,12.5,12.5,0.0
26,Born Free,Roger Williams,1966,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,16.666666666666668,16.666666666666668,0.0
27,Walk Away Renée,The Left Banke,1966,sadness,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,25.0,0.0
28,Cool Jerk,The Capitols,1966,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
29,B-A-B-Y,Carla Thomas,1966,joy,0.0,20.0,0.0,0.0,33.333333333333336,0.0,20.0,20.0,6.666666666666667,0.0
30,Hanky Panky,Tommy James,1966,joy,0.0,20.0,0.0,0.0,40.0,0.0,0.0,20.0,20.0,0.0
31,When a Man Loves a Woman,Percy Sledge,1966,joy,8.333333333333334,8.333333333333334,16.666666666666668,8.333333333333334,25.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,0.0
32,Time Won't Let Me,The Outsiders,1966,anticipation,0.0,33.333333333333336,0.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0
33,Bus Stop,The Hollies,1966,joy,6.666666666666667,13.333333333333334,0.0,6.666666666666667,33.333333333333336,0.0,13.333333333333334,20.0,6.666666666666667,0.0
34,Paint It Black,The Rolling Stones,1966,joy,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,23.076923076923077,23.076923076923077,7.6923076923076925,15.384615384615385,7.6923076923076925,0.0
35,Summer In The City,The Lovin' Spoonful,1966,anger,33.333333333333336,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0
36,I'm So Lonesome I Could Cry,B. J. Thomas,1966,na,0,0,0,0,0,0,0,0,0,100
